"Date","GrossExposure","PortfolioReturn","ForecastedRisk"
2023-01-03,1,-0.000112858142956894,0.0247949654238704
2023-01-03,1.5,-0.000247879712427027,0.0366347923344182
2023-01-03,2,-0.000330506283236036,0.0488463897792242
2023-01-03,2.5,-0.000413132854045045,0.0610579872240303
2023-01-03,3,-0.000495759424854055,0.0732695846688363
2023-01-04,1,0.000389593743998113,0.0238278050658316
2023-01-04,1.5,8.38284948358551e-05,0.0329843171047352
2023-01-04,2,0.000111771326447807,0.0439790894729803
2023-01-04,2.5,0.000139714158059759,0.0549738618412253
2023-01-04,3,0.00016765698967171,0.0659686342094704
2023-01-05,1,-0.00059121137688707,0.0242575226764979
2023-01-05,1.5,-0.00087843878185696,0.0345412212227258
2023-01-05,2,-0.00117125170914261,0.0460549616303011
2023-01-05,2.5,-0.00146406463642827,0.0575687020378764
2023-01-05,3,-0.00175687756371392,0.0690824424454517
2023-01-06,1,-0.00282103257229339,0.0248107083361227
2023-01-06,1.5,-0.00414096624939789,0.0366745777617595
2023-01-06,2,-0.00552128833253052,0.0488994370156793
2023-01-06,2.5,-0.00690161041566315,0.0611242962695991
2023-01-06,3,-0.00828193249879578,0.0733491555235189
2023-01-09,1,-0.00125123226063552,0.0222942942786635
2023-01-09,1.5,-0.00188423604416013,0.0305786505245453
2023-01-09,2,-0.00251231472554684,0.0407715340327271
2023-01-09,2.5,-0.00314039340693355,0.0509644175409088
2023-01-09,3,-0.00376847208832026,0.0611573010490906
2023-01-10,1,-0.00342477268419836,0.0243177523892702
2023-01-10,1.5,-0.00465178421528157,0.0347182540320772
2023-01-10,2,-0.00620237895370876,0.0462910053761029
2023-01-10,2.5,-0.00775297369213595,0.0578637567201286
2023-01-10,3,-0.00930356843056314,0.0694365080641544
2023-01-11,1,0.000506557412444816,0.0230432558866967
2023-01-11,1.5,0.000196675978597059,0.031351142872837
2023-01-11,2,0.000262234638129412,0.0418015238304493
2023-01-11,2.5,0.000327793297661765,0.0522519047880616
2023-01-11,3,0.000393351957194118,0.0627022857456739
2023-01-12,1,-0.000820720787136896,0.0243222812475788
2023-01-12,1.5,-0.00137644354569174,0.0346208244291582
2023-01-12,2,-0.00183525806092232,0.0461610992388775
2023-01-12,2.5,-0.0022940725761529,0.0577013740485969
2023-01-12,3,-0.00275288709138348,0.0692416488583163
2023-01-13,1,0.000182282509018965,0.0244759093424984
2023-01-13,1.5,0.000331694997093779,0.0353033124821018
2023-01-13,2,0.000442259996125038,0.0470710833094691
2023-01-13,2.5,0.000552824995156298,0.0588388541368363
2023-01-13,3,0.000663389994187557,0.0706066249642036
2023-01-17,1,0.000736622125293836,0.0230447452043434
2023-01-17,1.5,0.00069014066589624,0.0314132564472253
2023-01-17,2,0.00092018755452832,0.0418843419296337
2023-01-17,2.5,0.0011502344431604,0.0523554274120421
2023-01-17,3,0.00138028133179248,0.0628265128944505
2023-01-18,1,0.000286545784943062,0.0182573381371565
2023-01-18,1.5,0.000234417810940898,0.0263079970166504
2023-01-18,2,0.000312557081254531,0.0350773293555338
2023-01-18,2.5,0.000390696351568164,0.0438466616944173
2023-01-18,3,0.000468835621881796,0.0526159940333008
2023-01-19,1,-0.000840260576991562,0.0284045869741859
