Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,171.5680389404297,172.77903908485683,170.52408208738143,172.3614563436375,121465900
2015-01-05,168.46957397460938,170.6827572983968,168.16056683903503,170.51572675872453,169632600
2015-01-06,166.8828125,169.30478787753512,166.08104783902144,168.7786294205299,209151400
2015-01-07,168.9623260498047,169.30474695472745,167.76804553154108,168.21902928309717,125346700
2015-01-08,171.96058654785156,172.17773775295322,170.36542998704235,170.38212412311532,147217800
2015-01-09,170.58253479003906,172.39484219835452,169.96450779967196,172.37813532196276,158567300
2015-01-12,169.24627685546875,170.87485971163866,168.6366096325351,170.7161762338692,144396100
2015-01-13,168.7702178955078,171.609775029087,167.45900216013055,170.4739496269329,214553300
2015-01-14,167.75132751464844,167.95177180403775,165.8388043015592,166.74077174477856,192991100
2015-01-15,166.21456909179688,168.71170469488402,166.09764648239087,168.3943506085584,176613900
2015-01-16,168.3944549560547,168.55313846935184,165.82214321155243,166.0058806749895,211879600
2015-01-20,168.75355529785156,169.3047676399098,167.17509285913232,169.0375085369911,130991100
2015-01-21,169.60540771484375,170.08980522392602,167.81815409204347,168.2858447232639,122942700
2015-01-22,172.1276397705078,172.2612565848632,168.97906180774197,170.36543979855958,174356000
2015-01-23,171.1838836669922,172.12762481569922,171.05025412063077,171.86871279076834,117516800
2015-01-26,171.58474731445312,171.676616028067,170.248490177068,170.96673300797258,92009700
2015-01-27,169.32144165039062,170.47396126305338,168.48627623131844,169.5135261285656,134044600
2015-01-28,167.1500244140625,170.6159561779828,166.95793991525903,170.51574039488784,168514300
2015-01-29,168.69505310058594,168.9539523192891,165.9306450961963,167.35043638159473,173585400
2015-01-30,166.57374572753906,168.84539676112405,166.30649941138321,167.50913969311802,197729700
2015-02-02,168.63658142089844,168.7284501166795,165.24581222979737,167.07482633623158,163107000
2015-02-03,171.07528686523438,171.08364667560522,169.16276360147484,169.5385855033754,124212900
2015-02-04,170.423828125,171.52625243176206,169.96448466384916,170.30690549339897,134306700
2015-02-05,172.14431762695312,172.2946540513569,171.01685179019157,171.09201363058602,97953200
2015-02-06,171.6682891845703,173.07972106745336,171.14213078610456,172.51180184085902,125672000
2015-02-09,170.89988708496094,171.743399488108,170.4906514818992,171.01680972246263,87219000
2015-02-10,172.72056579589844,172.97946504809966,170.941659297903,171.94386803929473,96164200
2015-02-11,172.82083129882812,173.2551210288164,171.90215667970418,172.55358490287801,91087800
2015-02-12,174.48280334472656,174.54127105624968,172.85423290137524,173.6225837581457,97545900
2015-02-13,175.20098876953125,175.25109665231582,174.34911653135703,174.60802849843088,93670400
2015-02-17,175.4766082763672,175.65199862312664,174.63309578328025,174.8836352163465,76968200
2015-02-18,175.4933319091797,175.568493746276,174.83354402280722,175.10080310174652,80652900
2015-02-19,175.3680877685547,175.73556271061076,174.75007331474868,174.89204995261267,91462500
2015-02-20,176.42037963867188,176.49554148152302,174.32410590153324,174.95048007919007,140896400
2015-02-23,176.3953399658203,176.3953399658203,175.7856598748264,176.16984167540315,74411100
2015-02-24,176.8963623046875,177.09680656682445,176.0194361803038,176.3200962017036,72472300
2015-02-25,176.74606323242188,177.25551465217077,176.40364234919772,176.77111717571992,73061700
2015-02-26,176.53726196289062,176.81286806730637,175.92758206057135,176.65418460625375,72697900
2015-02-27,175.93594360351562,176.70429423084457,175.88583571923954,176.43703518988886,108076000
2015-03-02,177.0467071533203,177.10516210114844,175.98604359049443,176.03615147252194,87491400
2015-03-03,176.32012939453125,177.09683990587035,175.4515629156499,176.61244240555843,110325800
2015-03-04,175.5768280029297,175.7939791746273,174.59968596113043,175.7188045994017,114497200
2015-03-05,175.76890563964844,176.05285880094323,175.25945426503748,175.9025224108618,76873000
2015-03-06,173.29681396484375,175.33461950297456,172.96275291488652,174.9003299431404,188128000
2015-03-09,174.01510620117188,174.37422129486842,173.33862409919217,173.49730760333375,89818900
2015-03-10,171.19229125976562,172.72064628463468,171.1505304188113,172.63713734634544,157121300
2015-03-11,170.7913360595703,171.62650151707433,170.70781441637448,171.45111116380852,110145700
2015-03-12,172.96273803710938,173.02954004646494,171.37591632727606,171.42602420609828,93993500
2015-03-13,171.90206909179688,173.6559085130229,170.85811250406329,172.68712648475025,162410900
2015-03-16,174.19882202148438,174.29069073649381,171.9271708354456,172.63706660993805,136099200
2015-03-17,173.68099975585938,174.06516869804952,172.86252849993474,173.45550153280973,94510400
2015-03-18,175.76890563964844,176.44538753598505,172.56186100190124,173.20494189133748,228808500
2015-03-19,174.96713256835938,175.77724393911944,174.57460385289372,175.35131421841922,117917300
2015-03-20,176.51162719726562,177.0233528683387,175.73984652622957,175.92440416501015,177715100
2015-03-23,176.16763305664062,177.09880534338853,176.16763305664062,176.51996678669403,71784500
2015-03-24,175.17774963378906,176.50319012068343,175.11063661664897,176.04180892865648,77805300
2015-03-25,172.61073303222656,175.62237061893194,172.56879859493384,175.3874814478936,159521700
2015-03-26,172.1996612548828,173.12243636523925,171.2349261116261,171.9396063346869,153067200
2015-03-27,172.5939483642578,172.77010882594251,171.8892681160232,172.0822228318665,118939000
2015-03-30,174.69956970214844,175.00157187127655,173.61740272973037,173.63417138321057,96180400
2015-03-31,173.1728057861328,174.57376941177947,173.11408988833077,173.8690890346485,126768700
2015-04-01,172.56036376953125,173.16436802039325,171.56207861045388,173.13920224331542,137303600
2015-04-02,173.18115234375,173.6341491391599,172.30869605559414,172.49325362422337,86900900
2015-04-06,174.34718322753906,174.86729293905387,172.14928703965916,172.28350022939222,114368200
2015-04-07,173.8858642578125,175.12742320077166,173.85231414605704,174.37242408151957,81236300
2015-04-08,174.47303771972656,174.91765017722855,173.71803881466576,174.11231971856327,89351900
2015-04-09,175.2448272705078,175.47971639998357,173.81032671553078,174.30527075260483,85548900
2015-04-10,176.201171875,176.24311910694954,175.2951782274796,175.49650446004057,72722900
2015-04-13,175.40423583984375,176.69613897600493,175.35390427878528,176.05857173460117,74436600
2015-04-14,175.73977661132812,175.92433417668582,174.57371533956655,175.20288536678675,75099900
2015-04-15,176.5283660888672,177.04009167365342,176.12570076328947,176.20959523968062,99529300
2015-04-16,176.4779815673828,176.98970699861528,175.99142191141618,176.19276091403907,68934900
2015-04-17,174.44784545898438,175.52162777451883,173.6592837709055,175.27835436886434,191113200
2015-04-20,176.04180908203125,176.37736136752486,175.2951943663837,175.3790760375075,92189500
2015-04-21,175.83206176757812,176.8890628434434,175.53005963154556,176.72967104935714,72559800
2015-04-22,176.6961669921875,176.88072461233034,175.24487181556427,176.17604424428464,78264600
2015-04-23,177.14071655273438,177.79505231840332,176.17598155427643,176.2934261070761,102585900
2015-04-24,177.55174255371094,177.82019452481177,177.09874585309646,177.5601396781169,61327400
2015-04-27,176.8135986328125,178.24809944732536,176.6206438982992,178.12227053394696,79358100
2015-04-28,177.37567138671875,177.4260029564986,175.60560531328872,176.78844840511894,86863500
2015-04-29,176.6458282470703,177.24981985150023,175.83210044599775,176.4780392897562,125684900
2015-04-30,174.87571716308594,176.46122511692684,174.1710370054368,176.06694420984235,161304900
2015-05-01,176.77163696289062,176.81358419742537,175.5636282910829,175.66429141356727,103399700
2015-05-04,177.2749481201172,177.86217090254632,177.09039055985423,177.19943799055753,70927200
2015-05-05,175.2448272705078,177.3924051407822,175.10221692764736,177.031674320196,113326200
2015-05-06,174.5233917236328,176.10889986861423,173.4496091069522,175.79851338112798,135060200
2015-05-07,175.21961975097656,175.64746347813306,174.0871216037555,174.4226737657852,88244900
2015-05-08,177.52659606933594,177.72793506953658,176.82192876937756,176.90582321958516,155877300
2015-05-11,176.6793670654297,177.75314976100591,176.60386971976402,177.48471048736158,75708100
2015-05-12,176.1508331298828,176.69612152198297,175.00993759009327,175.84044666701644,119727600
2015-05-13,176.18441772460938,177.1910873717687,175.94952856695548,176.56191724223174,94667900
2015-05-14,178.02159118652344,178.11386998142814,176.93102710142207,177.20786348613618,95934000
2015-05-15,178.21453857421875,178.3571489342681,177.72797880437446,178.21453857421875,76510100
2015-05-18,178.7681884765625,179.01984625590606,177.97962663329295,178.0467396412837,74549700
2015-05-19,178.70947265625,179.16248229266668,178.4242519521348,178.88564591496723,72114600
2015-05-20,178.5836181640625,179.33861704922424,178.26483459897366,178.81011014931312,76857500
2015-05-21,179.1037139892578,179.31343730774643,178.27320503986462,178.4409939350519,64764600
2015-05-22,178.67593383789062,179.13731502937233,178.60882082082986,178.71786827311686,57433500
2015-05-26,176.7548370361328,178.6087970846197,176.33539033561968,178.18095325777796,124308600
2015-05-27,178.43260192871094,178.66749102811679,176.8051468824732,177.2162092066814,93214000
2015-05-28,178.23129272460938,178.34034015941288,177.53500968479992,178.12223248930877,74974600
2015-05-29,177.1239471435547,178.20611396788468,176.85550791911893,178.16417953942386,124919600
2015-06-01,177.48463439941406,178.1305729249712,176.68767564626938,177.79502077664267,93338800
2015-06-02,177.30848693847656,178.00476990779666,176.39409632113285,177.02326629094665,91531000
2015-06-03,177.77830505371094,178.40747516480158,177.28336097177265,177.84541806828713,87820900
2015-06-04,176.27671813964844,177.72800049894914,175.95793447209658,177.06528018011838,151882800
2015-06-05,175.97467041015625,176.65417200954332,175.31193746224983,176.12566507646568,121704700
2015-06-08,174.8925323486328,176.0166594894743,174.81703499752788,175.8656519867641,89063300
2015-06-09,174.86732482910156,175.41261321365985,174.22977045999207,174.86732482910156,105034700
2015-06-10,176.9645538330078,177.3504504154082,175.58038489277226,175.63910077241104,134551300
2015-06-11,177.5350341796875,177.92091801853576,177.17430332111311,177.4091924753248,73876400
2015-06-12,176.17599487304688,177.4091691709184,175.89915852041275,176.70450180084816,135382400
2015-06-15,175.42098999023438,175.7062106588382,174.31364461730652,175.0267090893128,124384200
2015-06-16,176.3773651123047,176.4612595857089,175.0938590323169,175.27001950576653,85308200
2015-06-17,176.66256713867188,177.27496856859182,175.63073178763267,176.66256713867188,126708600
2015-06-18,178.4997100830078,178.96948826906683,176.69609466142506,177.26653594435516,165867900
2015-06-19,177.7073516845703,178.3311570920234,177.32801594687112,178.2552925170361,130478700
2015-06-22,178.6177978515625,179.20787720291457,178.4070543073107,178.63466093667688,70696000
2015-06-23,178.74420166015625,179.08139897849242,178.34801571310027,178.8285042054309,68476800
2015-06-24,177.44602966308594,178.853794720682,177.4207414717274,178.47445898754145,92307300
2015-06-25,176.9065399169922,178.07827336688385,176.8306753372956,177.95183240072288,97107400
2015-06-26,176.8728485107422,177.5135042565447,176.31648246522766,177.2690345413496,104174800
2015-06-29,173.16372680664062,176.8812454327178,173.08786222964227,175.3807526614112,202621300
