Price,Close,High,Low,Open,Volume
Ticker,005380.KQ,005380.KQ,005380.KQ,005380.KQ,005380.KQ
Date,,,,,
2015-04-17,118798.2734375,119497.08681066177,117400.64669117647,117400.64669117647,582544
2015-04-20,121942.984375,121942.984375,117400.69555873924,117400.69555873924,953611
2015-04-21,119497.09375,122292.34740497076,118798.2803362573,121593.53399122806,753660
2015-04-22,118798.2734375,120195.90018382353,118099.46006433824,118798.2734375,828845
2015-04-23,122641.7890625,123340.60267539174,118798.31419159545,120195.94141737893,1216380
2015-04-24,124039.359375,125786.39260563381,123340.54608274648,124388.76602112676,1211753
2015-04-27,122991.1640625,126485.23122336649,122292.3506303267,125437.01107510654,748451
2015-04-28,120545.328125,123689.98885869565,119147.70113224637,123340.58211050724,740146
2015-04-29,119497.09375,120195.90716374268,117750.06021564327,119846.50045687133,601241
2015-04-30,118099.46875,119497.09559911242,118099.46875,119147.68888683431,427815
2015-05-04,120195.921875,120894.73537427327,118099.48137718024,118798.2948764535,380816
2015-05-06,119846.546875,122292.39477040817,119147.73319059768,119846.546875,503864
2015-05-07,120894.7421875,121593.55572615606,118798.30157153179,119147.70834085983,402405
2015-05-08,120894.7421875,122292.36926481214,120195.92864884392,120545.33541817196,468895
2015-05-11,118448.8828125,122641.76362002213,118448.88281250001,122292.35688606196,436637
2015-05-12,118099.46875,119147.68888683431,117400.65532544377,118798.28217455621,458718
2015-05-13,116003.0234375,118798.27701430723,114954.80334619728,118099.46362010542,757632
2015-05-14,114605.3984375,116003.02524771342,113906.5850323933,115304.2118426067,549230
2015-05-15,114255.9921875,116352.43241112385,113906.5854835627,115653.61900324924,658615
2015-05-18,113557.203125,114256.01668269231,112508.98278846154,113906.60990384615,487389
2015-05-19,113557.203125,114256.01668269231,111810.16923076923,112508.98278846154,500399
2015-05-20,113557.203125,115304.23701923077,112858.38956730769,114605.42346153846,486568
2015-05-21,111460.7734375,113906.62113048589,111460.7734375,113557.21431720219,560571
2015-05-22,113557.203125,113557.203125,111460.76245192307,111460.76245192307,483612
2015-05-26,111810.1484375,113906.58872070313,111460.74172363282,113557.18200683595,771656
2015-05-27,109713.7265625,110761.94687997611,109713.7265625,110063.13333499205,812113
2015-05-28,109014.8984375,110761.9320663061,108316.08498597756,110063.11861478366,720265
2015-05-29,110412.5234375,111111.33687697785,109014.89655854431,110063.11671776108,790681
2015-06-01,107966.6953125,110412.5427791262,106918.4749696602,110063.13599817961,661877
2015-06-02,96785.671875,105870.2475744585,96436.26511732853,105870.2475744585,3463055
2015-06-03,94689.234375,97135.08175738007,92243.38699261993,96785.67498846864,3117196
2015-06-04,97135.09375,98183.31418615108,94689.24606564749,95388.0596897482,1737559
2015-06-05,96086.8515625,98183.29196022727,95737.44482954545,96436.25829545454,1081459
2015-06-08,93990.4140625,97135.07475604089,92942.1938313197,96086.8545248606,1119635
2015-06-09,94689.234375,96086.86145064575,94339.82760608857,95038.64114391145,659565
2015-06-10,93990.4140625,96086.8545248606,92592.78708759294,95737.44778113383,977599
2015-06-11,96436.25,99231.50362318842,95388.02989130435,96086.84329710146,1652650
2015-06-12,95038.625,98532.69209558824,94339.81158088235,97484.47196691176,645129
2015-06-15,95388.0390625,96086.85253548535,93990.4121165293,95388.0390625,465681
