Date,Open,High,Low,Close,Volume
,SLX,SLX,SLX,SLX,SLX
2015-01-02,24.218463174121975,24.218463174121975,23.88304521914908,23.992568969726562,11300
2015-01-05,23.616078535337746,23.82828192019871,22.8699472539741,23.013696670532227,20000
2015-01-06,23.273819011199304,23.410724351162674,22.876793786430746,23.116378784179688,16300
2015-01-07,23.43810555116085,23.533938504163938,23.26012782879615,23.40387725830078,11700
2015-01-08,23.547624836307353,23.889886810025477,23.49970836888695,23.780363082885742,10600
2015-01-09,23.75298655594841,23.75298655594841,23.376498826944268,23.50655746459961,10300
2015-01-12,23.273818702014463,23.273818702014463,22.71935325759217,23.08899688720703,21400
2015-01-13,23.20536468510908,23.2327436606056,22.630364419652782,22.705659866333008,31800
2015-01-14,22.130663746298037,22.130663746298037,21.60357860986027,22.034828186035156,17300
2015-01-15,22.082744940657253,22.29494833848166,21.911613926323653,21.952686309814453,34100
2015-01-16,22.05536803801916,22.47977226234646,22.04852133450049,22.452390670776367,21900
2015-01-20,22.39762863058089,22.43869840399135,22.226497611364962,22.38393783569336,38300
2015-01-21,22.26756778294982,22.849414825439453,22.260723691009733,22.849414825439453,19100
2015-01-22,23.013697134182035,23.08899519520622,22.80149635629782,23.05476951599121,27200
2015-01-23,22.486613859534007,22.493460562292977,21.973220825195312,21.973220825195312,28900
2015-01-26,21.92530520730965,22.185425086018963,21.843163049757482,22.103282928466797,11200
2015-01-27,21.83631713397741,22.185424559351663,21.781555261700625,22.110126495361328,8500
2015-01-28,22.158044891307032,22.260724553150194,21.733640670776367,21.733640670776367,14800
2015-01-29,21.897924101467435,21.959532675758364,21.309233003391945,21.548816680908203,21700
2015-01-30,21.199709652812462,21.82262644251099,20.966971368131034,21.637805938720703,11400
2015-02-02,21.678875769063293,22.12381612100867,21.644650090308247,22.069055557250977,8100
2015-02-03,22.520839993382857,23.13006591796875,22.520839993382857,23.13006591796875,20800
2015-02-04,22.66459231841457,22.71935288602555,22.43185403075069,22.466079711914062,17400
2015-02-05,22.582448479691692,23.01369673048959,22.582448479691692,22.96578025817871,19200
2015-02-06,22.664592308357918,22.94524707177641,22.664592308357918,22.733043670654297,21500
2015-02-09,22.801498718411718,23.424415545162724,22.79465201510827,23.205368041992188,17300
2015-02-10,23.000005769925387,23.000005769925387,22.54822002623495,22.68512535095215,8700
2015-02-11,22.561912869631755,22.705662298581423,22.342865374684038,22.69881820678711,8500
2015-02-12,23.27381752509485,23.383341267821685,23.16429378236801,23.314889907836914,17000
2015-02-13,23.67768530285063,24.095245361328125,23.67768530285063,24.095245361328125,60200
2015-02-17,24.02679246103722,24.088399728322013,23.711912033249156,23.8077449798584,28100
2015-02-18,23.746137712573606,24.040483255017392,23.746137712573606,23.8077449798584,14400
2015-02-19,23.616077888697603,23.732445714748284,23.376495534327486,23.657150268554688,6300
2015-02-20,23.595548884607297,23.958345857708956,23.465487621606727,23.889894485473633,8300
2015-02-23,23.520247838734438,23.520247838734438,23.266974659939006,23.30804443359375,19700
2015-02-24,23.383343179500496,23.78036841137613,23.383343179500496,23.69137954711914,8100
2015-02-25,23.66399441822787,23.711910889220665,23.479172625290595,23.609233856201172,8600
2015-02-26,23.499706866098204,23.499706866098204,23.266968634403256,23.280656814575195,5700
2015-02-27,23.32173406136647,23.39018542153331,23.2669734954834,23.2669734954834,7000
2015-03-02,23.239591317254586,23.239591317254586,22.88363850866423,23.05476951599121,6300
2015-03-03,23.04792271942171,23.225900428617177,22.83572194240272,22.993162155151367,6900
2015-03-04,22.774117745359256,22.808343429048097,22.44554648169227,22.767271041870117,17800
2015-03-05,22.787808435863514,22.787808435863514,22.459237173713692,22.596139907836914,15600
2015-03-06,22.260722841852246,22.336020906581705,21.980068080475583,22.07590103149414,26100
2015-03-09,22.048516111353102,22.103279281520262,21.945839084167194,21.959529876708984,15600
2015-03-10,21.754176660701336,21.788402343911358,21.425604096004953,21.44614028930664,14300
2015-03-11,21.459828960182715,21.548816511094117,21.32976902673436,21.480363845825195,8400
2015-03-12,21.76101857906993,22.089589785604495,21.63095865354028,21.69256591796875,8400
2015-03-13,21.46667613200451,21.46667613200451,20.994354138788864,21.199710845947266,20600
2015-03-16,21.329770933494363,21.329770933494363,20.9738180867766,21.158639907836914,16400
2015-03-17,21.206556655754405,21.42560416248087,21.151794779072787,21.398223876953125,9100
2015-03-18,21.14494729700972,22.062209620231098,21.14494729700972,22.021137237548828,11200
2015-03-19,21.68571991225985,21.68571991225985,21.25446907337209,21.268159866333008,9700
2015-03-20,21.494057288387328,21.891081229115063,21.473522400214648,21.870546340942383,9700
2015-03-23,22.041677242234112,22.452390670776367,22.041677242234112,22.452390670776367,5300
2015-03-24,22.383937099046793,22.383937099046793,22.110126432811466,22.158042907714844,9000
2015-03-25,22.37024412368316,22.383934916785382,22.08274269104004,22.08274269104004,16800
2015-03-26,21.986909688783808,22.233338741427687,21.67202928207297,21.706254959106445,14500
2015-03-27,21.514591080476908,21.514591080476908,21.16548365862507,21.288698196411133,21100
2015-03-30,21.357150889121232,21.77470967192988,21.357150889121232,21.665185928344727,11000
2015-03-31,21.39137427681478,21.39137427681478,21.254468959192817,21.36399269104004,29900
2015-04-01,21.15863784607074,21.24078130485748,21.055959501806804,21.144947052001953,32100
2015-04-02,21.076495862553138,21.480363845825195,21.062805068374153,21.480363845825195,15200
2015-04-06,21.61042603532551,21.733640584547533,21.53512796510624,21.672033309936523,19800
2015-04-07,21.870544523782012,22.09643610866975,21.74732998247885,21.932151794433594,85800
2015-04-08,22.349708324769125,22.349708324769125,21.904766706541825,21.959529876708984,24500
