Date,Asset_Clusters
2022-01-03,"{'COCOA': 6, 'COFFEE': 12, 'Copper': 1, 'COTTON': 12, 'ETHANOL': 7, 'EUR_KRW': 7, 'EuroStoxx50': 4, 'FTSE': 10, 'FTSE100': 4, 'Gold': 1, 'Hyundai': 5, 'IWM': 2, 'Kakao': 5, 'KOSDAQ': 5, 'KOSPI200': 10, 'LGChem': 6, 'MSCI_EM': 4, 'MSCI_World': 4, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 3, 'NaturalGas': 9, 'Nikkei225': 5, 'NYSE': 2, 'OMX': 5, 'Palladium': 1, 'Platinum': 1, 'QQQ': 3, 'Samsung': 5, 'Shanghai': 10, 'Silver': 1, 'Soybeans': 12, 'STEEL': 4, 'US30Y': 11, 'US3M': 7, 'US5Y': 11, 'USDCNY': 8, 'USDJPY': 8, 'WTI': 2, 'XLE': 2, 'XLF': 2, 'XLI': 2, 'XLK': 3, 'XLP': 3, 'XLRE': 3, 'XLU': 3, 'XLV': 3, 'XLY': 3}"
2022-01-04,"{'COCOA': 8, 'COFFEE': 8, 'COTTON': 8, 'ETHANOL': 4, 'EUR_KRW': 4, 'EuroStoxx50': 2, 'EURUSD': 8, 'FTSE': 9, 'FTSE100': 2, 'Gold': 1, 'HangSeng': 7, 'Hyundai': 7, 'IWM': 2, 'KOSDAQ': 7, 'KOSPI200': 9, 'LGChem': 7, 'MSCI_EM': 7, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 3, 'NaturalGas': 6, 'Nikkei225': 7, 'NYSE': 2, 'OMX': 7, 'Palladium': 1, 'Platinum': 1, 'QQQ': 3, 'Shanghai': 9, 'Silver': 1, 'STEEL': 7, 'US3M': 4, 'US5Y': 9, 'USDCNY': 5, 'USDJPY': 5, 'WTI': 2, 'XLE': 2, 'XLF': 2, 'XLI': 2, 'XLK': 3, 'XLP': 3, 'XLRE': 3, 'XLU': 3, 'XLV': 3, 'XLY': 3}"
2022-01-05,"{'COCOA': 9, 'COFFEE': 9, 'COTTON': 8, 'ETHANOL': 4, 'EUR_KRW': 4, 'EuroStoxx50': 2, 'EURUSD': 9, 'FTSE': 8, 'FTSE100': 2, 'Gold': 1, 'HangSeng': 7, 'Hyundai': 7, 'IWM': 2, 'KOSDAQ': 7, 'LGChem': 7, 'MSCI_EM': 7, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 3, 'NaturalGas': 6, 'Naver': 7, 'Nikkei225': 7, 'NYSE': 2, 'OMX': 7, 'Palladium': 1, 'Platinum': 1, 'QQQ': 3, 'Shanghai': 8, 'Silver': 1, 'STEEL': 7, 'US3M': 4, 'USDCNY': 5, 'USDJPY': 5, 'WTI': 2, 'XLE': 2, 'XLF': 2, 'XLI': 2, 'XLK': 3, 'XLP': 3, 'XLRE': 3, 'XLU': 3, 'XLV': 3, 'XLY': 3}"
2022-01-06,"{'BTC': 2, 'COCOA': 10, 'COFFEE': 10, 'COTTON': 8, 'ETHANOL': 3, 'EUR_KRW': 3, 'EuroStoxx50': 1, 'EURUSD': 10, 'FTSE': 8, 'FTSE100': 1, 'Gold': 6, 'HangSeng': 7, 'Hyundai': 7, 'IWM': 1, 'KOSDAQ': 7, 'LGChem': 7, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'NaturalGas': 5, 'Naver': 7, 'Nikkei225': 7, 'NYSE': 1, 'OMX': 7, 'Palladium': 6, 'Platinum': 6, 'QQQ': 2, 'Shanghai': 8, 'Silver': 6, 'STEEL': 9, 'US3M': 3, 'US5Y': 9, 'USDCNY': 4, 'USDJPY': 4, 'WTI': 1, 'XLE': 1, 'XLF': 1, 'XLI': 1, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-01-07,"{'BTC': 1, 'CAC40': 4, 'COCOA': 9, 'COFFEE': 9, 'Copper': 2, 'COTTON': 9, 'ETHANOL': 6, 'EUR_KRW': 6, 'EuroStoxx50': 4, 'EURUSD': 9, 'FTSE': 8, 'FTSE100': 4, 'Gold': 2, 'HangSeng': 7, 'Hyundai': 7, 'IWM': 3, 'KOSDAQ': 7, 'KOSPI200': 8, 'LGChem': 7, 'MSCI_World': 4, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'Naver': 7, 'NYSE': 3, 'OMX': 7, 'Platinum': 2, 'QQQ': 1, 'Shanghai': 8, 'Silver': 2, 'STEEL': 4, 'US3M': 6, 'USDCNY': 5, 'USDJPY': 5, 'WTI': 3, 'XLE': 3, 'XLF': 3, 'XLI': 3, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-01-10,"{'BTC': 7, 'CAC40': 9, 'COCOA': 4, 'COFFEE': 3, 'Copper': 8, 'COTTON': 3, 'ETHANOL': 6, 'EUR_KRW': 6, 'EuroStoxx50': 9, 'EURUSD': 3, 'FTSE': 2, 'FTSE100': 9, 'Gold': 8, 'HangSeng': 1, 'Hyundai': 1, 'IWM': 9, 'KOSDAQ': 1, 'KOSPI200': 2, 'LGChem': 4, 'MSCI_World': 9, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 7, 'Naver': 1, 'NYSE': 9, 'OMX': 1, 'Palladium': 8, 'Platinum': 8, 'QQQ': 7, 'Shanghai': 2, 'Silver': 8, 'STEEL': 9, 'SUGAR': 3, 'US_Dollar_Index': 5, 'US3M': 6, 'USDCNY': 5, 'USDJPY': 5, 'WTI': 9, 'XLE': 9, 'XLF': 9, 'XLI': 9, 'XLK': 7, 'XLP': 7, 'XLRE': 7, 'XLU': 7, 'XLV': 7, 'XLY': 7}"
2022-01-11,"{'CAC40': 3, 'COCOA': 7, 'Copper': 2, 'COTTON': 9, 'ETHANOL': 5, 'EUR_KRW': 5, 'EuroStoxx50': 3, 'EURUSD': 9, 'FTSE': 8, 'FTSE100': 3, 'Gold': 2, 'HangSeng': 6, 'Hyundai': 6, 'IWM': 3, 'KOSDAQ': 6, 'KOSPI200': 8, 'LGChem': 7, 'MSCI_World': 3, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'Naver': 6, 'NYSE': 3, 'OMX': 6, 'Platinum': 2, 'QQQ': 1, 'Shanghai': 8, 'Silver': 2, 'STEEL': 3, 'SUGAR': 9, 'US_Dollar_Index': 4, 'US3M': 5, 'USDCNY': 4, 'USDJPY': 4, 'WTI': 3, 'XLE': 3, 'XLF': 3, 'XLI': 3, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-01-12,"{'COCOA': 8, 'COTTON': 7, 'ETHANOL': 4, 'EuroStoxx50': 2, 'EURUSD': 7, 'FTSE': 6, 'Gold': 3, 'IWM': 2, 'KOSDAQ': 5, 'KOSPI200': 6, 'MSCI_World': 2, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'Naver': 5, 'NYSE': 2, 'Platinum': 3, 'QQQ': 1, 'Shanghai': 6, 'Silver': 3, 'US3M': 4, 'WTI': 2, 'XLE': 2, 'XLF': 2, 'XLI': 2, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-01-13,"{'CAC40': 2, 'COCOA': 8, 'COTTON': 8, 'ETHANOL': 3, 'EuroStoxx50': 2, 'EURUSD': 7, 'Gold': 5, 'HangSeng': 6, 'IWM': 2, 'KOSDAQ': 6, 'KOSPI200': 7, 'MSCI_World': 2, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'Naver': 6, 'NYSE': 2, 'Platinum': 5, 'QQQ': 1, 'Shanghai': 7, 'Silver': 5, 'US3M': 3, 'USDCNY': 4, 'WTI': 2, 'XLE': 2, 'XLF': 2, 'XLI': 2, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-01-14,"{'CAC40': 9, 'COCOA': 3, 'COTTON': 4, 'ETHANOL': 1, 'EUR_KRW': 1, 'EuroStoxx50': 9, 'EURUSD': 4, 'FTSE': 4, 'FTSE100': 9, 'Gold': 7, 'HangSeng': 2, 'Hyundai': 2, 'IWM': 8, 'KOSDAQ': 2, 'KOSPI200': 4, 'LGChem': 3, 'MSCI_World': 9, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 6, 'Naver': 2, 'NYSE': 8, 'OMX': 2, 'Palladium': 7, 'Platinum': 7, 'QQQ': 6, 'Samsung': 2, 'Shanghai': 4, 'Silver': 7, 'STEEL': 9, 'US_Dollar_Index': 5, 'US3M': 1, 'USDCNY': 5, 'WTI': 8, 'XLE': 8, 'XLF': 8, 'XLI': 8, 'XLK': 6, 'XLP': 6, 'XLRE': 6, 'XLU': 6, 'XLV': 6, 'XLY': 6}"
