Date,Asset_Clusters
2022-01-18,"{'BTC': 2, 'CAC40': 5, 'COCOA': 8, 'COTTON': 9, 'ETHANOL': 6, 'EUR_KRW': 6, 'EuroStoxx50': 5, 'EURUSD': 9, 'FTSE': 9, 'FTSE100': 5, 'Gold': 1, 'HangSeng': 7, 'Hyundai': 7, 'IWM': 4, 'KOSDAQ': 7, 'KOSPI200': 9, 'LGChem': 8, 'MSCI_World': 5, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'Naver': 7, 'NYSE': 4, 'OMX': 7, 'Platinum': 1, 'QQQ': 2, 'Shanghai': 9, 'Silver': 1, 'STEEL': 5, 'US3M': 6, 'USDCNY': 3, 'WTI': 4, 'XLE': 4, 'XLF': 4, 'XLI': 4, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-01-19,"{'BTC': 6, 'CAC40': 9, 'COCOA': 3, 'Copper': 7, 'COTTON': 4, 'ETHANOL': 1, 'EUR_KRW': 1, 'EuroStoxx50': 9, 'EURUSD': 4, 'FTSE': 4, 'FTSE100': 9, 'Gold': 7, 'HangSeng': 2, 'Hyundai': 2, 'IWM': 8, 'KOSDAQ': 2, 'KOSPI200': 4, 'LGChem': 3, 'MSCI_World': 9, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 6, 'Naver': 2, 'NYSE': 8, 'OMX': 2, 'Palladium': 7, 'Platinum': 7, 'QQQ': 6, 'Shanghai': 4, 'Silver': 7, 'STEEL': 9, 'US_Dollar_Index': 5, 'US3M': 1, 'USDCNY': 5, 'WTI': 8, 'XLE': 8, 'XLF': 8, 'XLI': 8, 'XLK': 6, 'XLP': 6, 'XLRE': 6, 'XLU': 6, 'XLV': 6, 'XLY': 6}"
2022-01-20,"{'BTC': 6, 'CAC40': 9, 'COCOA': 3, 'Copper': 7, 'COTTON': 4, 'ETHANOL': 1, 'EUR_KRW': 1, 'EuroStoxx50': 9, 'EURUSD': 2, 'FTSE': 4, 'FTSE100': 9, 'Gold': 7, 'HangSeng': 2, 'Hyundai': 2, 'IWM': 8, 'KOSDAQ': 2, 'KOSPI200': 4, 'LGChem': 3, 'MSCI_World': 9, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 6, 'Naver': 2, 'NYSE': 8, 'OMX': 2, 'Palladium': 7, 'Platinum': 7, 'QQQ': 6, 'Shanghai': 4, 'Silver': 7, 'STEEL': 9, 'US_Dollar_Index': 5, 'US3M': 1, 'USDCNY': 5, 'WTI': 8, 'XLE': 8, 'XLF': 8, 'XLI': 8, 'XLK': 6, 'XLP': 6, 'XLRE': 6, 'XLU': 6, 'XLV': 6, 'XLY': 6}"
2022-01-21,"{'BTC': 2, 'CAC40': 4, 'COCOA': 7, 'Copper': 3, 'COTTON': 8, 'ETHANOL': 5, 'EUR_KRW': 5, 'EuroStoxx50': 4, 'EURUSD': 6, 'FTSE': 8, 'FTSE100': 4, 'Gold': 3, 'HangSeng': 6, 'Hyundai': 6, 'IWM': 2, 'KOSDAQ': 6, 'KOSPI200': 8, 'LGChem': 7, 'MSCI_World': 4, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'Naver': 6, 'NYSE': 2, 'OMX': 6, 'Palladium': 3, 'Platinum': 3, 'QQQ': 2, 'Samsung': 6, 'Shanghai': 8, 'Silver': 3, 'STEEL': 4, 'US_Dollar_Index': 1, 'US3M': 5, 'USDCNY': 1, 'WTI': 4, 'XLE': 4, 'XLF': 2, 'XLI': 2, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-01-24,"{'BTC': 7, 'CAC40': 9, 'COCOA': 2, 'Copper': 9, 'COTTON': 3, 'ETHANOL': 5, 'EUR_KRW': 5, 'EuroStoxx50': 9, 'EURUSD': 1, 'FTSE': 3, 'FTSE100': 9, 'Gold': 8, 'HangSeng': 1, 'Hyundai': 1, 'IWM': 7, 'KOSDAQ': 1, 'KOSPI200': 3, 'LGChem': 2, 'MSCI_World': 9, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 7, 'NaturalGas': 6, 'Naver': 1, 'NYSE': 7, 'OMX': 1, 'Platinum': 8, 'QQQ': 7, 'Samsung': 1, 'Shanghai': 3, 'Silver': 8, 'STEEL': 9, 'US_Dollar_Index': 4, 'US3M': 5, 'USDCNY': 4, 'WTI': 9, 'XLE': 9, 'XLF': 7, 'XLI': 7, 'XLK': 7, 'XLP': 7, 'XLRE': 7, 'XLU': 7, 'XLV': 7, 'XLY': 7}"
2022-01-25,"{'BTC': 5, 'CAC40': 6, 'COCOA': 3, 'COTTON': 3, 'EuroStoxx50': 6, 'EURUSD': 4, 'HangSeng': 2, 'Hyundai': 2, 'IWM': 5, 'KOSDAQ': 2, 'KOSPI200': 4, 'MSCI_World': 6, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 5, 'Naver': 2, 'NYSE': 5, 'Platinum': 6, 'QQQ': 5, 'Shanghai': 4, 'Silver': 6, 'STEEL': 6, 'US3M': 1, 'USDCNY': 1, 'VIX': 4, 'WTI': 6, 'XLE': 6, 'XLF': 5, 'XLI': 5, 'XLK': 5, 'XLP': 5, 'XLRE': 5, 'XLU': 5, 'XLV': 5, 'XLY': 5}"
2022-01-26,"{'BTC': 5, 'CAC40': 8, 'COCOA': 6, 'COTTON': 6, 'EURUSD': 3, 'HangSeng': 1, 'IWM': 5, 'KOSDAQ': 1, 'KOSPI200': 2, 'MSCI_World': 8, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 5, 'Naver': 1, 'NYSE': 5, 'Platinum': 7, 'QQQ': 5, 'Shanghai': 2, 'Silver': 7, 'STEEL': 8, 'US3M': 4, 'VIX': 3, 'WTI': 8, 'XLE': 8, 'XLF': 5, 'XLI': 5, 'XLK': 5, 'XLP': 5, 'XLRE': 5, 'XLU': 5, 'XLV': 5, 'XLY': 5}"
2022-01-27,"{'BTC': 6, 'CAC40': 7, 'COCOA': 9, 'COTTON': 9, 'DAX': 7, 'ETHANOL': 1, 'EUR_KRW': 2, 'EuroStoxx50': 7, 'EURUSD': 5, 'FTSE100': 7, 'Gold': 8, 'HangSeng': 3, 'Hyundai': 3, 'IWM': 6, 'KOSDAQ': 3, 'KOSPI200': 4, 'LGChem': 9, 'MSCI_World': 7, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 6, 'NaturalGas': 1, 'Naver': 3, 'NYSE': 6, 'Platinum': 8, 'QQQ': 6, 'Shanghai': 4, 'Silver': 8, 'STEEL': 7, 'US3M': 2, 'USDCNY': 2, 'VIX': 5, 'WTI': 7, 'XLE': 7, 'XLF': 6, 'XLI': 6, 'XLK': 6, 'XLP': 6, 'XLRE': 6, 'XLU': 6, 'XLV': 6, 'XLY': 6}"
2022-01-28,"{'BTC': 1, 'CAC40': 6, 'COCOA': 7, 'COTTON': 2, 'EuroStoxx50': 6, 'EURUSD': 2, 'Gold': 4, 'HangSeng': 5, 'IWM': 1, 'KOSDAQ': 5, 'MSCI_World': 6, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'NYSE': 1, 'Platinum': 4, 'QQQ': 1, 'Shanghai': 2, 'Silver': 4, 'STEEL': 6, 'US3M': 3, 'USDCNY': 3, 'VIX': 2, 'WTI': 6, 'XLE': 6, 'XLF': 1, 'XLI': 1, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-01-31,"{'BTC': 1, 'CAC40': 2, 'COCOA': 7, 'COTTON': 6, 'DAX': 2, 'EUR_KRW': 3, 'EuroStoxx50': 2, 'EURUSD': 6, 'Gold': 4, 'HangSeng': 5, 'Hyundai': 5, 'IWM': 1, 'KOSDAQ': 5, 'LGChem': 5, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'NYSE': 2, 'Platinum': 4, 'QQQ': 1, 'Shanghai': 6, 'Silver': 4, 'STEEL': 2, 'US3M': 3, 'USDCNY': 3, 'VIX': 6, 'WTI': 2, 'XLE': 2, 'XLF': 2, 'XLI': 2, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-02-01,"{'BTC': 4, 'COCOA': 7, 'COTTON': 3, 'DAX': 6, 'EUR_KRW': 1, 'EuroStoxx50': 6, 'EURUSD': 3, 'FTSE100': 6, 'Gold': 5, 'HangSeng': 2, 'Hyundai': 2, 'IWM': 4, 'KOSDAQ': 2, 'LGChem': 7, 'MSCI_World': 6, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 4, 'Naver': 2, 'NYSE': 4, 'Platinum': 5, 'QQQ': 4, 'Shanghai': 3, 'Silver': 5, 'STEEL': 6, 'US3M': 1, 'USDCNY': 1, 'VIX': 3, 'WTI': 6, 'XLE': 6, 'XLF': 4, 'XLI': 4, 'XLK': 4, 'XLP': 4, 'XLRE': 4, 'XLU': 4, 'XLV': 4, 'XLY': 4}"
2022-02-02,"{'BTC': 1, 'COCOA': 7, 'COTTON': 2, 'DAX': 6, 'EuroStoxx50': 6, 'EURUSD': 2, 'Gold': 4, 'HangSeng': 5, 'IWM': 1, 'KOSDAQ': 5, 'MSCI_World': 6, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'NYSE': 1, 'Platinum': 4, 'QQQ': 1, 'Shanghai': 2, 'Silver': 4, 'US3M': 3, 'USDCNY': 3, 'VIX': 2, 'WTI': 6, 'XLE': 6, 'XLF': 1, 'XLI': 1, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-02-03,"{'BTC': 2, 'COCOA': 7, 'COTTON': 3, 'EuroStoxx50': 6, 'EURUSD': 3, 'Gold': 5, 'HangSeng': 6, 'IWM': 2, 'KOSDAQ': 6, 'MSCI_World': 6, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'NYSE': 2, 'Platinum': 5, 'QQQ': 2, 'Shanghai': 3, 'US3M': 4, 'USDCNY': 4, 'VIX': 3, 'WTI': 1, 'XLE': 1, 'XLF': 2, 'XLI': 2, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-02-04,"{'BTC': 2, 'CAC40': 5, 'COCOA': 6, 'COTTON': 1, 'EuroStoxx50': 5, 'EURUSD': 1, 'Gold': 4, 'HangSeng': 5, 'IWM': 2, 'MSCI_World': 5, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'NYSE': 2, 'Platinum': 4, 'QQQ': 2, 'Shanghai': 1, 'US3M': 3, 'USDCNY': 3, 'VIX': 1, 'WTI': 5, 'XLE': 5, 'XLF': 2, 'XLI': 2, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-02-07,"{'BTC': 2, 'CAC40': 1, 'COCOA': 6, 'COTTON': 4, 'EURUSD': 4, 'Gold': 7, 'HangSeng': 5, 'IWM': 2, 'KOSDAQ': 5, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'NYSE': 1, 'QQQ': 2, 'Shanghai': 4, 'US3M': 3, 'USDCNY': 3, 'VIX': 4, 'WTI': 1, 'XLE': 1, 'XLF': 1, 'XLI': 1, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-02-08,"{'BTC': 1, 'CAC40': 1, 'COCOA': 3, 'COTTON': 4, 'EURUSD': 4, 'HangSeng': 3, 'IWM': 1, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'NYSE': 1, 'QQQ': 1, 'Shanghai': 4, 'US3M': 2, 'USDCNY': 2, 'VIX': 4, 'XLE': 1, 'XLF': 1, 'XLI': 1, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-02-09,"{'BTC': 2, 'CAC40': 1, 'COCOA': 4, 'COTTON': 5, 'EURUSD': 5, 'HangSeng': 4, 'IWM': 2, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'NYSE': 1, 'QQQ': 2, 'Shanghai': 5, 'US3M': 3, 'USDCNY': 3, 'VIX': 5, 'WTI': 1, 'XLE': 1, 'XLF': 1, 'XLI': 1, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-02-10,"{'BTC': 2, 'COCOA': 4, 'COTTON': 5, 'EURUSD': 5, 'HangSeng': 4, 'IWM': 2, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'NYSE': 1, 'QQQ': 2, 'Shanghai': 5, 'USDCNY': 3, 'VIX': 5, 'WTI': 1, 'XLE': 1, 'XLF': 1, 'XLI': 1, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-02-11,"{'BTC': 2, 'CAC40': 1, 'COCOA': 5, 'COTTON': 4, 'EURUSD': 4, 'Gold': 6, 'HangSeng': 5, 'IWM': 2, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'NYSE': 1, 'QQQ': 2, 'Shanghai': 4, 'US3M': 3, 'USDCNY': 3, 'VIX': 4, 'WTI': 1, 'XLE': 1, 'XLF': 1, 'XLI': 1, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-02-14,"{'BTC': 3, 'CAC40': 2, 'COCOA': 7, 'COTTON': 7, 'EURUSD': 6, 'Gold': 1, 'HangSeng': 5, 'Hyundai': 5, 'IWM': 2, 'KOSDAQ': 5, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 3, 'Naver': 5, 'NYSE': 2, 'Platinum': 1, 'QQQ': 3, 'Shanghai': 6, 'US3M': 4, 'USDCNY': 4, 'VIX': 6, 'WTI': 2, 'XLE': 2, 'XLF': 2, 'XLI': 2, 'XLK': 3, 'XLP': 3, 'XLRE': 3, 'XLU': 3, 'XLV': 3, 'XLY': 3}"
2022-02-15,"{'BTC': 2, 'CAC40': 1, 'COCOA': 5, 'COTTON': 5, 'EURUSD': 4, 'Gold': 6, 'HangSeng': 7, 'IWM': 1, 'KOSDAQ': 7, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'Naver': 7, 'NYSE': 1, 'Platinum': 6, 'QQQ': 2, 'Shanghai': 4, 'US3M': 3, 'USDCNY': 3, 'VIX': 4, 'WTI': 1, 'XLE': 1, 'XLF': 1, 'XLI': 1, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-02-16,"{'BTC': 3, 'COCOA': 1, 'COTTON': 2, 'EURUSD': 2, 'HangSeng': 1, 'IWM': 3, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 3, 'NYSE': 3, 'QQQ': 3, 'USDCNY': 4, 'VIX': 2, 'XLF': 3, 'XLI': 3, 'XLK': 3, 'XLP': 3, 'XLRE': 3, 'XLU': 3, 'XLV': 3, 'XLY': 3}"
2022-02-17,"{'BTC': 2, 'CAC40': 1, 'COCOA': 3, 'COTTON': 3, 'EuroStoxx50': 1, 'Gold': 4, 'HangSeng': 4, 'IWM': 2, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'Naver': 4, 'NYSE': 2, 'QQQ': 2, 'Shanghai': 4, 'US_Dollar_Index': 5, 'US3M': 6, 'USDCNY': 5, 'VIX': 6, 'WTI': 1, 'XLE': 1, 'XLF': 2, 'XLI': 2, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-02-18,"{'BTC': 1, 'CAC40': 1, 'COCOA': 3, 'COTTON': 4, 'HangSeng': 3, 'IWM': 1, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'NYSE': 1, 'QQQ': 1, 'US_Dollar_Index': 2, 'USDCNY': 2, 'VIX': 4, 'XLE': 1, 'XLF': 1, 'XLI': 1, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-02-22,"{'BTC': 2, 'CAC40': 1, 'COCOA': 3, 'COTTON': 3, 'EuroStoxx50': 1, 'Gold': 4, 'HangSeng': 4, 'IWM': 2, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'Naver': 4, 'NYSE': 2, 'QQQ': 2, 'Shanghai': 3, 'US_Dollar_Index': 5, 'US3M': 6, 'USDCNY': 5, 'VIX': 6, 'WTI': 1, 'XLE': 1, 'XLF': 2, 'XLI': 2, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
2022-02-23,"{'BTC': 1, 'CAC40': 1, 'COCOA': 6, 'COTTON': 7, 'DAX': 1, 'EuroStoxx50': 1, 'EURUSD': 7, 'Gold': 4, 'HangSeng': 5, 'Hyundai': 5, 'IWM': 1, 'LGChem': 6, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'Naver': 5, 'NYSE': 1, 'QQQ': 1, 'Shanghai': 7, 'Silver': 4, 'US_Dollar_Index': 2, 'US3M': 3, 'USDCNY': 2, 'VIX': 3, 'XLE': 1, 'XLF': 1, 'XLI': 1, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-02-24,"{'BTC': 1, 'CAC40': 1, 'COCOA': 7, 'COTTON': 5, 'DAX': 1, 'EURUSD': 5, 'Gold': 4, 'HangSeng': 6, 'Hyundai': 6, 'IWM': 1, 'LGChem': 7, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 1, 'Naver': 6, 'NYSE': 1, 'OMX': 6, 'QQQ': 1, 'Shanghai': 5, 'Silver': 4, 'US_Dollar_Index': 2, 'US3M': 3, 'USDCNY': 2, 'VIX': 3, 'XLE': 1, 'XLF': 1, 'XLI': 1, 'XLK': 1, 'XLP': 1, 'XLRE': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}"
2022-02-25,"{'BTC': 2, 'CAC40': 5, 'COCOA': 8, 'COTTON': 8, 'DAX': 5, 'EUR_KRW': 3, 'EuroStoxx50': 5, 'EURUSD': 3, 'FTSE100': 5, 'Gold': 7, 'HangSeng': 6, 'Hyundai': 6, 'IWM': 2, 'LGChem': 6, 'Nasdaq.US.Benchmark.Consumer.Digital.Services': 2, 'Naver': 6, 'NYSE': 2, 'OMX': 6, 'Platinum': 7, 'QQQ': 2, 'Shanghai': 8, 'Silver': 7, 'US_Dollar_Index': 1, 'US3M': 4, 'USDCNY': 1, 'VIX': 4, 'XLE': 2, 'XLF': 2, 'XLI': 2, 'XLK': 2, 'XLP': 2, 'XLRE': 2, 'XLU': 2, 'XLV': 2, 'XLY': 2}"
