Date,Selected_Assets
2022-01-18,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'USDCNY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-19,"['BTC', 'CAC40', 'COCOA', 'Copper', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'Palladium', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US_Dollar_Index', 'US3M', 'USDCNY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-20,"['BTC', 'CAC40', 'COCOA', 'Copper', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'Palladium', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US_Dollar_Index', 'US3M', 'USDCNY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-21,"['BTC', 'CAC40', 'COCOA', 'Copper', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'Palladium', 'Platinum', 'QQQ', 'Samsung', 'Shanghai', 'Silver', 'STEEL', 'US_Dollar_Index', 'US3M', 'USDCNY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-24,"['BTC', 'CAC40', 'COCOA', 'Copper', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NaturalGas', 'Naver', 'NYSE', 'OMX', 'Platinum', 'QQQ', 'Samsung', 'Shanghai', 'Silver', 'STEEL', 'US_Dollar_Index', 'US3M', 'USDCNY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-25,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EuroStoxx50', 'EURUSD', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-26,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EURUSD', 'HangSeng', 'IWM', 'KOSDAQ', 'KOSPI200', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-27,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'DAX', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NaturalGas', 'Naver', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-28,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'EuroStoxx50', 'EURUSD', 'Gold', 'HangSeng', 'IWM', 'KOSDAQ', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-31,"['BTC', 'CAC40', 'COCOA', 'COTTON', 'DAX', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-02-01,"['BTC', 'COCOA', 'COTTON', 'DAX', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'USDCNY', 'VIX', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
